,date,country,Energy_IDX2015,Food_IDX2015,Total_IDX2015,core_IDX2015,Energy_MoM,Food_MoM,Total_MoM,core_MoM
0,1915-01,Canada,,,4.819594,,,,1.666667,
1,1915-02,Canada,,,4.819594,,,,1.666667,
2,1915-03,Canada,,,4.819594,,,,1.666667,
3,1915-04,Canada,,,4.819594,,,,1.666667,
4,1915-05,Canada,,,4.819594,,,,3.389831,
5,1915-06,Canada,,,4.819594,,,,1.666667,
6,1915-07,Canada,,,4.819594,,,,3.389831,
7,1915-08,Canada,,,4.819594,,,,1.666667,
8,1915-09,Canada,,,4.819594,,,,1.666667,
9,1915-10,Canada,,,4.819594,,,,0.0,
10,1915-11,Canada,,,4.977614,,,,3.278688,
11,1915-12,Canada,,,4.977614,,,,3.278688,
12,1916-01,Canada,,,5.056623,,,,4.918033,
13,1916-02,Canada,,,5.135633,,,,6.557377,
14,1916-03,Canada,,,5.135633,,,,6.557377,
15,1916-04,Canada,,,5.135633,,,,6.557377,
16,1916-05,Canada,,,5.135633,,,,6.557377,
17,1916-06,Canada,,,5.214643,,,,8.196721,
18,1916-07,Canada,,,5.214643,,,,8.196721,
19,1916-08,Canada,,,5.214643,,,,8.196721,
20,1916-09,Canada,,,5.372663,,,,11.47541,
21,1916-10,Canada,,,5.451673,,,,13.11475,
22,1916-11,Canada,,,5.609692,,,,12.69841,
23,1916-12,Canada,,,5.688702,,,,14.28571,
24,1917-01,Canada,,,5.846721,,,,15.625,
25,1917-02,Canada,,,5.846721,,,,13.84615,
26,1917-03,Canada,,,6.004741,,,,16.92308,
27,1917-04,Canada,,,6.004741,,,,16.92308,
28,1917-05,Canada,,,6.24177,,,,21.53846,
29,1917-06,Canada,,,6.32078,,,,21.21212,
30,1917-07,Canada,,,6.32078,,,,21.21212,
31,1917-08,Canada,,,6.32078,,,,21.21212,
32,1917-09,Canada,,,6.32078,,,,17.64706,
33,1917-10,Canada,,,6.478799,,,,18.84058,
34,1917-11,Canada,,,6.478799,,,,15.49296,
35,1917-12,Canada,,,6.557809,,,,15.27778,
36,1918-01,Canada,,,6.636818,,,,13.51351,
37,1918-02,Canada,,,6.715828,,,,14.86487,
38,1918-03,Canada,,,6.794838,,,,13.1579,
39,1918-04,Canada,,,6.794838,,,,13.1579,
40,1918-05,Canada,,,6.873848,,,,10.12658,
41,1918-06,Canada,,,6.952857,,,,10.0,
42,1918-07,Canada,,,7.031867,,,,11.25,
43,1918-08,Canada,,,7.268897,,,,15.0,
44,1918-09,Canada,,,7.268897,,,,15.0,
45,1918-10,Canada,,,7.347906,,,,13.41463,
46,1918-11,Canada,,,7.426916,,,,14.63415,
47,1918-12,Canada,,,7.426916,,,,13.25301,
48,1919-01,Canada,,,7.505926,,,,13.09524,
49,1919-02,Canada,,,7.426916,,,,10.58823,
50,1919-03,Canada,,,7.426916,,,,9.302325,
51,1919-04,Canada,,,7.426916,,,,9.302325,
52,1919-05,Canada,,,7.663945,,,,11.49425,
53,1919-06,Canada,,,7.663945,,,,10.22727,
54,1919-07,Canada,,,7.742955,,,,10.11236,
55,1919-08,Canada,,,7.900974,,,,8.695652,
56,1919-09,Canada,,,7.900974,,,,8.695652,
57,1919-10,Canada,,,7.900974,,,,7.526882,
58,1919-11,Canada,,,7.979984,,,,7.446808,
59,1919-12,Canada,,,8.058994,,,,8.510638,
60,1920-01,Canada,,,8.375033,,,,11.57895,
61,1920-02,Canada,,,8.533052,,,,14.89362,
62,1920-03,Canada,,,8.849092,,,,19.14894,
63,1920-04,Canada,,,8.928102,,,,20.21277,
64,1920-05,Canada,,,9.165131,,,,19.58763,
65,1920-06,Canada,,,9.32315,,,,21.64948,
66,1920-07,Canada,,,9.32315,,,,20.40816,
67,1920-08,Canada,,,9.24414,,,,17.0,
68,1920-09,Canada,,,9.086121,,,,15.0,
69,1920-10,Canada,,,9.086121,,,,15.0,
70,1920-11,Canada,,,8.928102,,,,11.88119,
71,1920-12,Canada,,,8.849092,,,,9.803922,
72,1921-01,Canada,,,8.691072,,,,3.773585,
73,1921-02,Canada,,,8.533052,,,,0.0,
74,1921-03,Canada,,,8.296023,,,,-6.25,
75,1921-04,Canada,,,8.058994,,,,-9.734513,
76,1921-05,Canada,,,7.900974,,,,-13.7931,
77,1921-06,Canada,,,7.663945,,,,-17.79661,
78,1921-07,Canada,,,7.663945,,,,-17.79661,
79,1921-08,Canada,,,7.663945,,,,-17.09402,
80,1921-09,Canada,,,7.663945,,,,-15.65217,
81,1921-10,Canada,,,7.663945,,,,-15.65217,
82,1921-11,Canada,,,7.426916,,,,-16.81416,
83,1921-12,Canada,,,7.426916,,,,-16.07143,
84,1922-01,Canada,,,7.426916,,,,-14.54545,
85,1922-02,Canada,,,7.347906,,,,-13.88889,
86,1922-03,Canada,,,7.268897,,,,-12.38095,
87,1922-04,Canada,,,7.268897,,,,-9.803922,
88,1922-05,Canada,,,7.189887,,,,-9.0,
89,1922-06,Canada,,,7.189887,,,,-6.185567,
90,1922-07,Canada,,,7.189887,,,,-6.185567,
91,1922-08,Canada,,,7.268897,,,,-5.154639,
92,1922-09,Canada,,,7.268897,,,,-5.154639,
93,1922-10,Canada,,,7.268897,,,,-5.154639,
94,1922-11,Canada,,,7.268897,,,,-2.12766,
95,1922-12,Canada,,,7.268897,,,,-2.12766,
96,1923-01,Canada,,,7.268897,,,,-2.12766,
97,1923-02,Canada,,,7.268897,,,,-1.075269,
98,1923-03,Canada,,,7.347906,,,,1.086957,
99,1923-04,Canada,,,7.268897,,,,0.0,
100,1923-05,Canada,,,7.268897,,,,1.098901,
101,1923-06,Canada,,,7.268897,,,,1.098901,
102,1923-07,Canada,,,7.189887,,,,0.0,
103,1923-08,Canada,,,7.268897,,,,0.0,
104,1923-09,Canada,,,7.268897,,,,0.0,
105,1923-10,Canada,,,7.268897,,,,0.0,
106,1923-11,Canada,,,7.268897,,,,0.0,
107,1923-12,Canada,,,7.268897,,,,0.0,
108,1924-01,Canada,,,7.268897,,,,0.0,
109,1924-02,Canada,,,7.268897,,,,0.0,
110,1924-03,Canada,,,7.268897,,,,-1.075269,
111,1924-04,Canada,,,7.110877,,,,-2.173913,
112,1924-05,Canada,,,7.031867,,,,-3.26087,
113,1924-06,Canada,,,6.952857,,,,-4.347826,
114,1924-07,Canada,,,6.952857,,,,-3.296703,
115,1924-08,Canada,,,7.110877,,,,-2.173913,
116,1924-09,Canada,,,7.110877,,,,-2.173913,
117,1924-10,Canada,,,7.110877,,,,-2.173913,
118,1924-11,Canada,,,7.189887,,,,-1.086957,
119,1924-12,Canada,,,7.189887,,,,-1.086957,
120,1925-01,Canada,,,7.268897,,,,0.0,
121,1925-02,Canada,,,7.268897,,,,0.0,
122,1925-03,Canada,,,7.268897,,,,0.0,
123,1925-04,Canada,,,7.189887,,,,1.111111,
124,1925-05,Canada,,,7.110877,,,,1.123595,
125,1925-06,Canada,,,7.110877,,,,2.272727,
126,1925-07,Canada,,,7.110877,,,,2.272727,
127,1925-08,Canada,,,7.189887,,,,1.111111,
128,1925-09,Canada,,,7.189887,,,,1.111111,
129,1925-10,Canada,,,7.268897,,,,2.222222,
130,1925-11,Canada,,,7.268897,,,,1.098901,
131,1925-12,Canada,,,7.347906,,,,2.197802,
132,1926-01,Canada,,,7.268897,,,,0.0,
133,1926-02,Canada,,,7.268897,,,,0.0,
134,1926-03,Canada,,,7.268897,,,,0.0,
135,1926-04,Canada,,,7.268897,,,,1.098901,
136,1926-05,Canada,,,7.268897,,,,2.222222,
137,1926-06,Canada,,,7.268897,,,,2.222222,
138,1926-07,Canada,,,7.268897,,,,2.222222,
139,1926-08,Canada,,,7.268897,,,,1.098901,
140,1926-09,Canada,,,7.268897,,,,1.098901,
141,1926-10,Canada,,,7.268897,,,,0.0,
142,1926-11,Canada,,,7.268897,,,,0.0,
143,1926-12,Canada,,,7.268897,,,,-1.075269,
144,1927-01,Canada,,,7.268897,,,,0.0,
145,1927-02,Canada,,,7.268897,,,,0.0,
146,1927-03,Canada,,,7.189887,,,,-1.086957,
147,1927-04,Canada,,,7.110877,,,,-2.173913,
148,1927-05,Canada,,,7.110877,,,,-2.173913,
149,1927-06,Canada,,,7.110877,,,,-2.173913,
150,1927-07,Canada,,,7.189887,,,,-1.086957,
151,1927-08,Canada,,,7.110877,,,,-2.173913,
152,1927-09,Canada,,,7.110877,,,,-2.173913,
153,1927-10,Canada,,,7.110877,,,,-2.173913,
154,1927-11,Canada,,,7.189887,,,,-1.086957,
155,1927-12,Canada,,,7.189887,,,,-1.086957,
156,1928-01,Canada,,,7.268897,,,,0.0,
157,1928-02,Canada,,,7.268897,,,,0.0,
158,1928-03,Canada,,,7.189887,,,,0.0,
159,1928-04,Canada,,,7.189887,,,,1.111111,
160,1928-05,Canada,,,7.110877,,,,0.0,
161,1928-06,Canada,,,7.110877,,,,0.0,
162,1928-07,Canada,,,7.110877,,,,-1.098901,
163,1928-08,Canada,,,7.268897,,,,2.222222,
164,1928-09,Canada,,,7.268897,,,,2.222222,
165,1928-10,Canada,,,7.268897,,,,2.222222,
166,1928-11,Canada,,,7.268897,,,,1.098901,
167,1928-12,Canada,,,7.268897,,,,1.098901,
168,1929-01,Canada,,,7.268897,,,,0.0,
169,1929-02,Canada,,,7.268897,,,,0.0,
170,1929-03,Canada,,,7.268897,,,,1.098901,
171,1929-04,Canada,,,7.189887,,,,0.0,
172,1929-05,Canada,,,7.268897,,,,2.222222,
173,1929-06,Canada,,,7.268897,,,,2.222222,
174,1929-07,Canada,,,7.268897,,,,2.222222,
175,1929-08,Canada,,,7.268897,,,,0.0,
176,1929-09,Canada,,,7.268897,,,,0.0,
177,1929-10,Canada,,,7.347906,,,,1.086957,
178,1929-11,Canada,,,7.347906,,,,1.086957,
179,1929-12,Canada,,,7.426916,,,,2.173913,
180,1930-01,Canada,,,7.426916,,,,2.173913,
181,1930-02,Canada,,,7.426916,,,,2.173913,
182,1930-03,Canada,,,7.347906,,,,1.086957,
183,1930-04,Canada,,,7.268897,,,,1.098901,
