Time Series Search Export,Search term,Search filters,,Last update of Effective exchange rates data,Downloaded at,Source,Source URL,Download URL,About Effective exchange rates
,,,,2024-10-10,2024-10-11 17:52 CEST,BIS,"https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.CA?","https:/data.bis.org/topics/EER/BIS,WS_EER,1.0/M.R.N.CA?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/EER

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-01-31,F:Free,,A:Normal value,132.44
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-02-29,F:Free,,A:Normal value,132.29
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-03-31,F:Free,,A:Normal value,132.17
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-04-30,F:Free,,A:Normal value,132.71
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-05-31,F:Free,,A:Normal value,134.07
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-06-30,F:Free,,A:Normal value,133.88
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-07-31,F:Free,,A:Normal value,134.34
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-08-31,F:Free,,A:Normal value,134.82
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-09-30,F:Free,,A:Normal value,134.42
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-10-31,F:Free,,A:Normal value,134.18
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-11-30,F:Free,,A:Normal value,133.98
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1964-12-31,F:Free,,A:Normal value,134.62
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-01-31,F:Free,,A:Normal value,134.4
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-02-28,F:Free,,A:Normal value,134.12
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-03-31,F:Free,,A:Normal value,133.05
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-04-30,F:Free,,A:Normal value,133.46
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-05-31,F:Free,,A:Normal value,133.4
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-06-30,F:Free,,A:Normal value,134.0
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-07-31,F:Free,,A:Normal value,133.91
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-08-31,F:Free,,A:Normal value,134.37
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-09-30,F:Free,,A:Normal value,134.42
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-10-31,F:Free,,A:Normal value,134.11
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-11-30,F:Free,,A:Normal value,134.92
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1965-12-31,F:Free,,A:Normal value,135.15
"BIS,WS_EER,1.0",M.R.N.CA,M:Monthly,R:Real,N:Narrow (27 economies),CA:Canada,"Index, 2020 = 100",,1966-01-31,F:Free,,A:Normal value,135.04
