TIME_PERIOD,exchange_rate,Unit,country
1964-01,132.44,"Index, 2020 = 100",Canada
1964-02,132.29,"Index, 2020 = 100",Canada
1964-03,132.17,"Index, 2020 = 100",Canada
1964-04,132.71,"Index, 2020 = 100",Canada
1964-05,134.07,"Index, 2020 = 100",Canada
1964-06,133.88,"Index, 2020 = 100",Canada
1964-07,134.34,"Index, 2020 = 100",Canada
1964-08,134.82,"Index, 2020 = 100",Canada
1964-09,134.42,"Index, 2020 = 100",Canada
1964-10,134.18,"Index, 2020 = 100",Canada
1964-11,133.98,"Index, 2020 = 100",Canada
1964-12,134.62,"Index, 2020 = 100",Canada
1965-01,134.4,"Index, 2020 = 100",Canada
1965-02,134.12,"Index, 2020 = 100",Canada
1965-03,133.05,"Index, 2020 = 100",Canada
1965-04,133.46,"Index, 2020 = 100",Canada
1965-05,133.4,"Index, 2020 = 100",Canada
1965-06,134.0,"Index, 2020 = 100",Canada
1965-07,133.91,"Index, 2020 = 100",Canada
1965-08,134.37,"Index, 2020 = 100",Canada
1965-09,134.42,"Index, 2020 = 100",Canada
1965-10,134.11,"Index, 2020 = 100",Canada
1965-11,134.92,"Index, 2020 = 100",Canada
1965-12,135.15,"Index, 2020 = 100",Canada
1966-01,135.04,"Index, 2020 = 100",Canada
1966-02,134.87,"Index, 2020 = 100",Canada
1966-03,135.29,"Index, 2020 = 100",Canada
1966-04,135.1,"Index, 2020 = 100",Canada
1966-05,135.05,"Index, 2020 = 100",Canada
1966-06,135.45,"Index, 2020 = 100",Canada
1966-07,135.25,"Index, 2020 = 100",Canada
1966-08,135.42,"Index, 2020 = 100",Canada
1966-09,135.0,"Index, 2020 = 100",Canada
1966-10,133.83,"Index, 2020 = 100",Canada
1966-11,133.59,"Index, 2020 = 100",Canada
1966-12,134.07,"Index, 2020 = 100",Canada
1967-01,134.2,"Index, 2020 = 100",Canada
1967-02,133.97,"Index, 2020 = 100",Canada
1967-03,134.14,"Index, 2020 = 100",Canada
1967-04,134.41,"Index, 2020 = 100",Canada
1967-05,134.92,"Index, 2020 = 100",Canada
1967-06,135.55,"Index, 2020 = 100",Canada
1967-07,136.26,"Index, 2020 = 100",Canada
1967-08,136.8,"Index, 2020 = 100",Canada
1967-09,136.23,"Index, 2020 = 100",Canada
1967-10,136.14,"Index, 2020 = 100",Canada
1967-11,135.81,"Index, 2020 = 100",Canada
1967-12,135.87,"Index, 2020 = 100",Canada
1968-01,135.25,"Index, 2020 = 100",Canada
1968-02,134.53,"Index, 2020 = 100",Canada
1968-03,135.16,"Index, 2020 = 100",Canada
1968-04,135.3,"Index, 2020 = 100",Canada
1968-05,135.28,"Index, 2020 = 100",Canada
1968-06,135.6,"Index, 2020 = 100",Canada
1968-07,136.75,"Index, 2020 = 100",Canada
1968-08,137.1,"Index, 2020 = 100",Canada
1968-09,136.5,"Index, 2020 = 100",Canada
1968-10,135.83,"Index, 2020 = 100",Canada
1968-11,136.88,"Index, 2020 = 100",Canada
1968-12,136.66,"Index, 2020 = 100",Canada
1969-01,136.17,"Index, 2020 = 100",Canada
1969-02,135.32,"Index, 2020 = 100",Canada
1969-03,134.71,"Index, 2020 = 100",Canada
1969-04,136.17,"Index, 2020 = 100",Canada
1969-05,135.65,"Index, 2020 = 100",Canada
1969-06,135.55,"Index, 2020 = 100",Canada
1969-07,135.29,"Index, 2020 = 100",Canada
1969-08,135.67,"Index, 2020 = 100",Canada
1969-09,135.23,"Index, 2020 = 100",Canada
1969-10,134.08,"Index, 2020 = 100",Canada
1969-11,133.93,"Index, 2020 = 100",Canada
1969-12,134.8,"Index, 2020 = 100",Canada
1970-01,134.98,"Index, 2020 = 100",Canada
1970-02,134.26,"Index, 2020 = 100",Canada
1970-03,133.5,"Index, 2020 = 100",Canada
1970-04,133.13,"Index, 2020 = 100",Canada
1970-05,132.89,"Index, 2020 = 100",Canada
1970-06,136.9,"Index, 2020 = 100",Canada
1970-07,138.31,"Index, 2020 = 100",Canada
1970-08,139.56,"Index, 2020 = 100",Canada
1970-09,138.75,"Index, 2020 = 100",Canada
1970-10,137.18,"Index, 2020 = 100",Canada
1970-11,136.8,"Index, 2020 = 100",Canada
1970-12,135.81,"Index, 2020 = 100",Canada
1971-01,136.77,"Index, 2020 = 100",Canada
1971-02,137.64,"Index, 2020 = 100",Canada
1971-03,137.36,"Index, 2020 = 100",Canada
1971-04,138.06,"Index, 2020 = 100",Canada
1971-05,137.22,"Index, 2020 = 100",Canada
1971-06,135.34,"Index, 2020 = 100",Canada
1971-07,136.5,"Index, 2020 = 100",Canada
1971-08,138.26,"Index, 2020 = 100",Canada
1971-09,136.43,"Index, 2020 = 100",Canada
1971-10,137.49,"Index, 2020 = 100",Canada
1971-11,137.52,"Index, 2020 = 100",Canada
1971-12,137.52,"Index, 2020 = 100",Canada
1972-01,136.51,"Index, 2020 = 100",Canada
1972-02,136.08,"Index, 2020 = 100",Canada
1972-03,136.92,"Index, 2020 = 100",Canada
1972-04,137.58,"Index, 2020 = 100",Canada
1972-05,138.12,"Index, 2020 = 100",Canada
1972-06,139.06,"Index, 2020 = 100",Canada
1972-07,139.94,"Index, 2020 = 100",Canada
1972-08,140.82,"Index, 2020 = 100",Canada
1972-09,140.94,"Index, 2020 = 100",Canada
1972-10,140.58,"Index, 2020 = 100",Canada
1972-11,139.75,"Index, 2020 = 100",Canada
1972-12,138.58,"Index, 2020 = 100",Canada
1973-01,139.01,"Index, 2020 = 100",Canada
1973-02,137.8,"Index, 2020 = 100",Canada
1973-03,134.81,"Index, 2020 = 100",Canada
1973-04,135.15,"Index, 2020 = 100",Canada
1973-05,134.28,"Index, 2020 = 100",Canada
1973-06,134.13,"Index, 2020 = 100",Canada
1973-07,134.42,"Index, 2020 = 100",Canada
1973-08,134.0,"Index, 2020 = 100",Canada
1973-09,133.24,"Index, 2020 = 100",Canada
1973-10,133.29,"Index, 2020 = 100",Canada
1973-11,134.91,"Index, 2020 = 100",Canada
1973-12,134.73,"Index, 2020 = 100",Canada
1974-01,136.57,"Index, 2020 = 100",Canada
1974-02,136.62,"Index, 2020 = 100",Canada
1974-03,136.38,"Index, 2020 = 100",Canada
1974-04,136.58,"Index, 2020 = 100",Canada
1974-05,138.3,"Index, 2020 = 100",Canada
1974-06,138.16,"Index, 2020 = 100",Canada
1974-07,136.76,"Index, 2020 = 100",Canada
1974-08,136.9,"Index, 2020 = 100",Canada
1974-09,135.4,"Index, 2020 = 100",Canada
1974-10,135.7,"Index, 2020 = 100",Canada
1974-11,134.62,"Index, 2020 = 100",Canada
1974-12,135.12,"Index, 2020 = 100",Canada
1975-01,132.98,"Index, 2020 = 100",Canada
1975-02,132.1,"Index, 2020 = 100",Canada
1975-03,131.62,"Index, 2020 = 100",Canada
1975-04,130.81,"Index, 2020 = 100",Canada
1975-05,128.88,"Index, 2020 = 100",Canada
1975-06,129.72,"Index, 2020 = 100",Canada
1975-07,130.66,"Index, 2020 = 100",Canada
1975-08,131.84,"Index, 2020 = 100",Canada
1975-09,132.74,"Index, 2020 = 100",Canada
1975-10,132.98,"Index, 2020 = 100",Canada
1975-11,134.99,"Index, 2020 = 100",Canada
1975-12,135.4,"Index, 2020 = 100",Canada
1976-01,136.0,"Index, 2020 = 100",Canada
1976-02,137.88,"Index, 2020 = 100",Canada
1976-03,139.47,"Index, 2020 = 100",Canada
1976-04,139.64,"Index, 2020 = 100",Canada
1976-05,140.17,"Index, 2020 = 100",Canada
1976-06,141.57,"Index, 2020 = 100",Canada
1976-07,141.76,"Index, 2020 = 100",Canada
1976-08,138.88,"Index, 2020 = 100",Canada
1976-09,141.09,"Index, 2020 = 100",Canada
1976-10,141.76,"Index, 2020 = 100",Canada
1976-11,140.34,"Index, 2020 = 100",Canada
1976-12,134.92,"Index, 2020 = 100",Canada
1977-01,136.25,"Index, 2020 = 100",Canada
1977-02,133.36,"Index, 2020 = 100",Canada
1977-03,130.94,"Index, 2020 = 100",Canada
1977-04,130.36,"Index, 2020 = 100",Canada
1977-05,131.5,"Index, 2020 = 100",Canada
1977-06,129.71,"Index, 2020 = 100",Canada
1977-07,129.71,"Index, 2020 = 100",Canada
1977-08,127.56,"Index, 2020 = 100",Canada
1977-09,128.37,"Index, 2020 = 100",Canada
1977-10,125.34,"Index, 2020 = 100",Canada
