,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
3348,1990-01-01,Canada,6.1394245000000005,6.1394245000000005,6.1394245000000005,6.1394245000000005,123.2,7.9,0.2518246017136614,-0.9185462678570004,-0.9214294327728664,-0.91829375740069,-0.919190974712706,-0.9201968947276794,-0.9768258064599802,12.29
3349,1990-01-01,France,4.14583925,4.14583925,4.14583925,4.14583925,109.44,9.5,0.0660949130935426,,,,,,,10.0
3350,1990-01-01,Germany,3.64103925,3.64103925,3.64103925,3.64103925,103.45,,0.4542808968859302,-1.1103625460360766,-1.1145221393077145,-1.1054874070791372,-1.1101811257042733,-1.1101811257042733,-1.0981723907358265,7.7
3351,1990-01-01,Italy,7.38564425,7.38564425,7.38564425,7.38564425,115.38,9.1,0.1183205478467679,,,,,,,13.5
3352,1990-01-01,Japan,3.0888945000000003,3.0888945000000003,3.0888945000000003,3.0888945000000003,118.48,2.2,0.1936771951248908,2.6365937167081546,2.6131944611104223,2.635150125596235,2.635704098790786,2.635704098790786,-0.668867482137122,4.25
3353,1990-01-01,United Kingdom,7.263434500000001,7.263434500000001,7.263434500000001,7.263434500000001,111.3,6.8,0.1466801068071923,-1.27938210377069,-1.279235474727746,-1.275065559090713,-1.271926424955983,-1.271926424955983,-1.055928627756865,14.875
3354,1990-01-01,United States,6.8453555,6.8453555,6.8453555,6.8453555,81.41,5.4,0.2791306851678798,-0.3482236630463803,-0.3697460809225175,-0.3714348972868189,-0.3679022176055582,-0.3679022176055582,-0.5008202838295269,8.25
3355,1990-02-01,Canada,6.292421500000001,6.292421500000001,6.292421500000001,6.292421500000001,120.62,7.7,0.2518246017136614,-0.926995364811956,-0.9240944775889868,-0.9236938099850112,-0.922268532384796,-0.9232655654695864,-0.9775068916370424,13.25
3356,1990-02-01,France,3.854709,3.854709,3.854709,3.854709,109.31,9.5,0.0660949130935426,,,,,,,10.0
3357,1990-02-01,Germany,3.0948085,3.0948085,3.0948085,3.0948085,103.35,,0.4542808968859302,-1.1136239299425594,-1.1177658985162395,-1.1087674139183716,-1.1134422215108468,-1.1134422215108468,-1.0981723907358265,7.85
