,TIME_PERIOD,Country,gdp_growth_MoM
5484,1947-04,United States,0.09762941090213728
5485,1947-05,United States,0.09762941090213728
5486,1947-06,United States,0.09762941090213728
5487,1947-07,United States,0.07357337258965557
5488,1947-08,United States,0.07357337258965557
5489,1947-09,United States,0.07357337258965557
5490,1947-10,United States,0.3690463244062243
5491,1947-11,United States,0.3690463244062243
5492,1947-12,United States,0.3690463244062243
5493,1948-01,United States,0.3583005276865914
5494,1948-02,United States,0.3583005276865914
5495,1948-03,United States,0.3583005276865914
5496,1948-04,United States,0.3842412115635603
5497,1948-05,United States,0.3842412115635603
5498,1948-06,United States,0.3842412115635603
5499,1948-07,United States,0.16336475249682048
5500,1948-08,United States,0.16336475249682048
5501,1948-09,United States,0.16336475249682048
5502,1948-10,United States,0.03641966787094475
5503,1948-11,United States,0.03641966787094475
5504,1948-12,United States,0.03641966787094475
5505,1949-01,United States,0.2778422267074451
5506,1949-02,United States,0.2778422267074451
5507,1949-03,United States,0.2778422267074451
5508,1949-04,United States,0.1291906399992102
5509,1949-05,United States,0.1291906399992102
5510,1949-06,United States,0.1291906399992102
5511,1949-07,United States,0.2670081413685348
5512,1949-08,United States,0.2670081413685348
5513,1949-09,United States,0.2670081413685348
5514,1949-10,United States,0.4546454726561936
5515,1949-11,United States,0.4546454726561936
5516,1949-12,United States,0.4546454726561936
5517,1950-01,United States,0.7021525592984166
5518,1950-02,United States,0.7021525592984166
5519,1950-03,United States,0.7021525592984166
5520,1950-04,United States,0.5941099050648821
5521,1950-05,United States,0.5941099050648821
5522,1950-06,United States,0.5941099050648821
5523,1950-07,United States,0.6944531778264869
5524,1950-08,United States,0.6944531778264869
5525,1950-09,United States,0.6944531778264869
5526,1950-10,United States,0.4284905764384248
5527,1950-11,United States,0.4284905764384248
5528,1950-12,United States,0.4284905764384248
5529,1951-01,United States,0.33100156283831916
5530,1951-02,United States,0.33100156283831916
5531,1951-03,United States,0.33100156283831916
5532,1951-04,United States,0.39797915974699305
5533,1951-05,United States,0.39797915974699305
5534,1951-06,United States,0.39797915974699305
5535,1951-07,United States,0.45179937960961825
5536,1951-08,United States,0.45179937960961825
5537,1951-09,United States,0.45179937960961825
5538,1951-10,United States,0.06822428361360666
5539,1951-11,United States,0.06822428361360666
5540,1951-12,United States,0.06822428361360666
5541,1952-01,United States,0.2738207434923634
5542,1952-02,United States,0.2738207434923634
5543,1952-03,United States,0.2738207434923634
5544,1952-04,United States,0.06686296980662365
5545,1952-05,United States,0.06686296980662365
5546,1952-06,United States,0.06686296980662365
5547,1952-07,United States,0.19843094047474197
