Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,,,2024-10-10,2024-10-11 15:18 CEST,BIS,"https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.FR?","https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.FR?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/CBPOL

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-01-31,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-02-28,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-03-31,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-04-30,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-05-31,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-06-30,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-07-31,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-08-31,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-09-30,F:Free,,A:Normal value,1.625
"BIS,WS_CBPOL,1.0",M.FR,M:Monthly,FR:France,Per cent per year,Units,1945-10-31,F:Free,,A:Normal value,1.625
