TIME_PERIOD,interest_rate,country
1945-01,1.625,France
1945-02,1.625,France
1945-03,1.625,France
1945-04,1.625,France
1945-05,1.625,France
1945-06,1.625,France
1945-07,1.625,France
1945-08,1.625,France
1945-09,1.625,France
1945-10,1.625,France
1945-11,1.625,France
1945-12,1.625,France
1946-01,1.625,France
1946-02,1.625,France
1946-03,1.625,France
1946-04,1.625,France
1946-05,1.625,France
1946-06,1.625,France
1946-07,1.625,France
1946-08,1.625,France
1946-09,1.625,France
1946-10,1.625,France
1946-11,1.625,France
1946-12,1.625,France
1947-01,2.25,France
1947-02,2.25,France
1947-03,2.25,France
1947-04,2.25,France
1947-05,2.25,France
1947-06,2.25,France
1947-07,2.25,France
1947-08,2.25,France
1947-09,2.25,France
1947-10,3.0,France
1947-11,3.0,France
1947-12,3.0,France
1948-01,3.0,France
1948-02,3.0,France
1948-03,3.0,France
1948-04,3.0,France
1948-05,3.0,France
1948-06,3.0,France
1948-07,3.0,France
1948-08,3.0,France
1948-09,3.0,France
1948-10,3.0,France
1948-11,3.0,France
1948-12,3.0,France
1949-01,3.0,France
1949-02,3.0,France
1949-03,3.0,France
1949-04,3.0,France
1949-05,3.0,France
1949-06,3.0,France
1949-07,3.0,France
1949-08,3.0,France
1949-09,3.0,France
1949-10,3.0,France
1949-11,3.0,France
1949-12,3.0,France
1950-01,3.0,France
1950-02,3.0,France
1950-03,3.0,France
1950-04,3.0,France
1950-05,3.0,France
1950-06,2.5,France
1950-07,2.5,France
1950-08,2.5,France
1950-09,2.5,France
1950-10,2.5,France
1950-11,2.5,France
1950-12,2.5,France
1951-01,2.5,France
1951-02,2.5,France
1951-03,2.5,France
1951-04,2.5,France
1951-05,2.5,France
1951-06,2.5,France
1951-07,2.5,France
1951-08,2.5,France
1951-09,2.5,France
1951-10,3.0,France
1951-11,4.0,France
1951-12,4.0,France
1952-01,4.0,France
1952-02,4.0,France
1952-03,4.0,France
1952-04,4.0,France
1952-05,4.0,France
1952-06,4.0,France
1952-07,4.0,France
1952-08,4.0,France
1952-09,4.0,France
1952-10,4.0,France
1952-11,4.0,France
1952-12,4.0,France
1953-01,4.0,France
1953-02,4.0,France
1953-03,4.0,France
1953-04,4.0,France
1953-05,4.0,France
1953-06,4.0,France
1953-07,4.0,France
1953-08,4.0,France
1953-09,4.0,France
1953-10,4.0,France
1953-11,4.0,France
1953-12,4.0,France
1954-01,4.0,France
1954-02,3.25,France
1954-03,3.25,France
1954-04,3.25,France
1954-05,3.25,France
1954-06,3.25,France
